TestType,ProductCount,BufferSize,AvgInitTime,AvgCommTime
Thread,1000,1,0.000128456,0.00941858
Process,1000,1,0.00020836,0.00948342
Thread,10000,1,0.000125947,0.0954142
Process,10000,1,0.000172392,0.0769612
Thread,100000,1,0.000144051,0.876226
Process,100000,1,0.000182051,0.799852
Thread,1000000,1,0.000153098,8.47108
Process,1000000,1,0.000194982,7.5394
Thread,1000,10,0.000245462,0.00162683
Process,1000,10,0.000185137,0.00164648
Thread,10000,10,0.000143391,0.0108868
Process,10000,10,0.000188037,0.0150447
Thread,100000,10,0.000130155,0.0862768
Process,100000,10,0.00020272,0.133758
Thread,1000000,10,0.000133348,0.890124
Process,1000000,10,0.000193488,1.30182
Thread,1000,100,0.000161265,0.000495234
Process,1000,100,0.000194197,0.00191214
Thread,10000,100,0.000152194,0.00481726
Process,10000,100,0.000211634,0.0136241
Thread,100000,100,0.000141637,0.0379086
Process,100000,100,0.00018274,0.120903
Thread,1000000,100,0.000135967,0.431316
Process,1000000,100,0.000194116,1.21987
Thread,1000,1000,0.000159257,0.000564288
Process,1000,1000,0.000221524,0.0022421
Thread,10000,1000,0.000153107,0.00448504
Process,10000,1000,0.000194584,0.0131915
Thread,100000,1000,0.000156914,0.0408752
Process,100000,1000,0.000175522,0.123916
Thread,1000000,1000,0.000167714,0.401186
Process,1000000,1000,0.000179839,1.16203
