TestType,ProductCount,BufferSize,AvgInitTime,AvgCommTime
Thread,100,1,0.000165798,0.00149512
Process,100,1,0.000236448,0.00126477
Thread,200,1,0.000162956,0.0025284
Process,200,1,0.000237234,0.00240531
Thread,300,1,0.00016797,0.0039045
Process,300,1,0.000257543,0.00312511
Thread,400,1,0.00013377,0.00359953
Process,400,1,0.000193898,0.00347548
Thread,500,1,0.000133694,0.00450628
Process,500,1,0.000186001,0.00432574
Thread,600,1,0.000136047,0.0053438
Process,600,1,0.000184938,0.00513235
Thread,700,1,0.000134414,0.00616155
Process,700,1,0.000187497,0.00598145
Thread,800,1,0.000136282,0.0069829
Process,800,1,0.000199001,0.0068085
Thread,900,1,0.000137223,0.0078771
Process,900,1,0.000201381,0.00751115
Thread,1000,1,0.000136528,0.00878945
Process,1000,1,0.000191067,0.00841225
Thread,1100,1,0.00013776,0.0099426
Process,1100,1,0.000188774,0.00954645
Thread,1200,1,0.000142687,0.0108743
Process,1200,1,0.000192321,0.0100937
Thread,1300,1,0.000148824,0.0117238
Process,1300,1,0.000215919,0.0110035
Thread,1400,1,0.000147137,0.0124473
Process,1400,1,0.000260354,0.0115722
Thread,1500,1,0.000152771,0.0133838
Process,1500,1,0.000270528,0.0123035
Thread,1600,1,0.000146448,0.0141213
Process,1600,1,0.000277686,0.0127713
Thread,1700,1,0.000154736,0.0149902
Process,1700,1,0.000303635,0.0137762
Thread,1800,1,0.000150162,0.0157725
Process,1800,1,0.000314089,0.0143267
Thread,1900,1,0.000155276,0.0168797
Process,1900,1,0.000305591,0.0148707
Thread,2000,1,0.000149065,0.0179389
Process,2000,1,0.000301512,0.0155011
Thread,2100,1,0.000156243,0.0192069
Process,2100,1,0.000259558,0.016502
Thread,2200,1,0.000147984,0.020461
Process,2200,1,0.000264172,0.0171011
Thread,2300,1,0.000157707,0.0210261
Process,2300,1,0.000267532,0.0178624
Thread,2400,1,0.00015345,0.021538
Process,2400,1,0.000232118,0.0184297
Thread,2500,1,0.00015102,0.0224803
Process,2500,1,0.000232521,0.0192009
Thread,2600,1,0.00015249,0.0224399
Process,2600,1,0.000207863,0.0197901
Thread,2700,1,0.000153663,0.0233058
Process,2700,1,0.00019942,0.0202209
Thread,2800,1,0.000157258,0.0236902
Process,2800,1,0.00020053,0.0212658
Thread,2900,1,0.00015992,0.0242887
Process,2900,1,0.000203771,0.0220125
Thread,3000,1,0.000152985,0.0248869
Process,3000,1,0.0001896,0.0224686
Thread,3100,1,0.000142999,0.0253285
